start_time,away_team,away_team_score,home_team,home_team_score
2018-11-08 00:30:00+00:00,NEW YORK KNICKS,112,ATLANTA HAWKS,107
2018-11-08 00:00:00+00:00,OKLAHOMA CITY THUNDER,95,CLEVELAND CAVALIERS,86
2018-11-08 01:00:00+00:00,PHILADELPHIA 76ERS,100,INDIANA PACERS,94
2018-11-08 03:30:00+00:00,MINNESOTA TIMBERWOLVES,110,LOS ANGELES LAKERS,114
2018-11-08 01:00:00+00:00,DENVER NUGGETS,87,MEMPHIS GRIZZLIES,89
2018-11-08 00:30:00+00:00,SAN ANTONIO SPURS,88,MIAMI HEAT,95
2018-11-08 01:00:00+00:00,CHICAGO BULLS,98,NEW ORLEANS PELICANS,107
2018-11-08 00:00:00+00:00,DETROIT PISTONS,103,ORLANDO MAGIC,96
2018-11-08 03:00:00+00:00,TORONTO RAPTORS,114,SACRAMENTO KINGS,105
2018-11-08 02:00:00+00:00,DALLAS MAVERICKS,102,UTAH JAZZ,117
2018-11-09 03:30:00+00:00,MILWAUKEE BUCKS,134,GOLDEN STATE WARRIORS,111
2018-11-09 01:00:00+00:00,HOUSTON ROCKETS,80,OKLAHOMA CITY THUNDER,98
2018-11-09 02:00:00+00:00,BOSTON CELTICS,116,PHOENIX SUNS,109
2018-11-09 03:00:00+00:00,LOS ANGELES CLIPPERS,105,PORTLAND TRAIL BLAZERS,116
2018-11-10 00:30:00+00:00,DETROIT PISTONS,124,ATLANTA HAWKS,109
2018-11-10 02:00:00+00:00,BROOKLYN NETS,112,DENVER NUGGETS,110
2018-11-10 01:00:00+00:00,INDIANA PACERS,110,MIAMI HEAT,102
2018-11-10 00:00:00+00:00,WASHINGTON WIZARDS,108,ORLANDO MAGIC,117
2018-11-10 00:00:00+00:00,CHARLOTTE HORNETS,132,PHILADELPHIA 76ERS,133
2018-11-10 03:00:00+00:00,MINNESOTA TIMBERWOLVES,110,SACRAMENTO KINGS,121
2018-11-10 02:30:00+00:00,BOSTON CELTICS,115,UTAH JAZZ,123
2018-11-11 01:00:00+00:00,CLEVELAND CAVALIERS,98,CHICAGO BULLS,99
2018-11-11 02:00:00+00:00,OKLAHOMA CITY THUNDER,96,DALLAS MAVERICKS,111
2018-11-11 01:30:00+00:00,BROOKLYN NETS,100,GOLDEN STATE WARRIORS,116
2018-11-10 20:30:00+00:00,MILWAUKEE BUCKS,126,LOS ANGELES CLIPPERS,128
2018-11-11 01:00:00+00:00,PHILADELPHIA 76ERS,106,MEMPHIS GRIZZLIES,112
2018-11-11 01:00:00+00:00,WASHINGTON WIZARDS,116,MIAMI HEAT,110
2018-11-11 00:00:00+00:00,PHOENIX SUNS,99,NEW ORLEANS PELICANS,119
2018-11-11 03:00:00+00:00,LOS ANGELES LAKERS,101,SACRAMENTO KINGS,86
2018-11-11 01:30:00+00:00,HOUSTON ROCKETS,89,SAN ANTONIO SPURS,96
2018-11-10 20:00:00+00:00,NEW YORK KNICKS,112,TORONTO RAPTORS,128
2018-11-12 01:00:00+00:00,MILWAUKEE BUCKS,121,DENVER NUGGETS,114
2018-11-11 20:30:00+00:00,CHARLOTTE HORNETS,113,DETROIT PISTONS,103
2018-11-12 00:00:00+00:00,INDIANA PACERS,103,HOUSTON ROCKETS,115
2018-11-12 02:30:00+00:00,ATLANTA HAWKS,106,LOS ANGELES LAKERS,107
2018-11-12 00:30:00+00:00,ORLANDO MAGIC,115,NEW YORK KNICKS,89
2018-11-12 02:00:00+00:00,BOSTON CELTICS,94,PORTLAND TRAIL BLAZERS,100
2018-11-13 01:00:00+00:00,DALLAS MAVERICKS,103,CHICAGO BULLS,98
2018-11-13 03:30:00+00:00,GOLDEN STATE WARRIORS,116,LOS ANGELES CLIPPERS,121
2018-11-13 01:00:00+00:00,UTAH JAZZ,96,MEMPHIS GRIZZLIES,88
2018-11-13 00:30:00+00:00,PHILADELPHIA 76ERS,124,MIAMI HEAT,114
2018-11-13 01:00:00+00:00,BROOKLYN NETS,113,MINNESOTA TIMBERWOLVES,120
2018-11-13 01:00:00+00:00,PHOENIX SUNS,101,OKLAHOMA CITY THUNDER,118
2018-11-13 03:00:00+00:00,SAN ANTONIO SPURS,99,SACRAMENTO KINGS,104
2018-11-13 00:30:00+00:00,NEW ORLEANS PELICANS,126,TORONTO RAPTORS,110
2018-11-13 00:00:00+00:00,ORLANDO MAGIC,109,WASHINGTON WIZARDS,117
2018-11-14 00:00:00+00:00,CHARLOTTE HORNETS,89,CLEVELAND CAVALIERS,113
2018-11-14 02:00:00+00:00,HOUSTON ROCKETS,109,DENVER NUGGETS,99
2018-11-14 03:30:00+00:00,ATLANTA HAWKS,103,GOLDEN STATE WARRIORS,110
2018-11-15 00:30:00+00:00,CHICAGO BULLS,82,BOSTON CELTICS,111
2018-11-15 00:30:00+00:00,MIAMI HEAT,120,BROOKLYN NETS,107
2018-11-15 01:30:00+00:00,UTAH JAZZ,68,DALLAS MAVERICKS,118
2018-11-15 03:30:00+00:00,PORTLAND TRAIL BLAZERS,117,LOS ANGELES LAKERS,126
2018-11-15 01:00:00+00:00,MEMPHIS GRIZZLIES,116,MILWAUKEE BUCKS,113
2018-11-15 01:00:00+00:00,NEW ORLEANS PELICANS,100,MINNESOTA TIMBERWOLVES,107
2018-11-15 01:00:00+00:00,NEW YORK KNICKS,103,OKLAHOMA CITY THUNDER,128
2018-11-15 00:00:00+00:00,PHILADELPHIA 76ERS,106,ORLANDO MAGIC,111
2018-11-15 02:00:00+00:00,SAN ANTONIO SPURS,96,PHOENIX SUNS,116
2018-11-15 00:30:00+00:00,DETROIT PISTONS,106,TORONTO RAPTORS,104
2018-11-15 00:00:00+00:00,CLEVELAND CAVALIERS,95,WASHINGTON WIZARDS,119
2018-11-16 02:00:00+00:00,ATLANTA HAWKS,93,DENVER NUGGETS,138
2018-11-16 01:00:00+00:00,GOLDEN STATE WARRIORS,86,HOUSTON ROCKETS,107
2018-11-16 03:30:00+00:00,SAN ANTONIO SPURS,111,LOS ANGELES CLIPPERS,116
2018-11-17 00:00:00+00:00,TORONTO RAPTORS,116,BOSTON CELTICS,123
2018-11-17 00:00:00+00:00,MIAMI HEAT,91,INDIANA PACERS,99
2018-11-17 01:00:00+00:00,SACRAMENTO KINGS,104,MEMPHIS GRIZZLIES,112
2018-11-17 02:30:00+00:00,CHICAGO BULLS,104,MILWAUKEE BUCKS,123
2018-11-17 01:00:00+00:00,PORTLAND TRAIL BLAZERS,96,MINNESOTA TIMBERWOLVES,112
2018-11-17 01:00:00+00:00,NEW YORK KNICKS,124,NEW ORLEANS PELICANS,129
2018-11-17 00:00:00+00:00,UTAH JAZZ,107,PHILADELPHIA 76ERS,113
2018-11-17 00:00:00+00:00,BROOKLYN NETS,115,WASHINGTON WIZARDS,104
2018-11-18 00:30:00+00:00,UTAH JAZZ,98,BOSTON CELTICS,86
2018-11-17 23:00:00+00:00,LOS ANGELES CLIPPERS,127,BROOKLYN NETS,119
2018-11-18 01:00:00+00:00,TORONTO RAPTORS,122,CHICAGO BULLS,83
2018-11-18 00:00:00+00:00,PHILADELPHIA 76ERS,122,CHARLOTTE HORNETS,119
2018-11-18 01:30:00+00:00,GOLDEN STATE WARRIORS,109,DALLAS MAVERICKS,112
2018-11-18 01:00:00+00:00,SACRAMENTO KINGS,112,HOUSTON ROCKETS,132
2018-11-18 00:00:00+00:00,ATLANTA HAWKS,89,INDIANA PACERS,97
2018-11-18 00:00:00+00:00,DENVER NUGGETS,115,NEW ORLEANS PELICANS,125
2018-11-18 00:00:00+00:00,LOS ANGELES LAKERS,117,ORLANDO MAGIC,130
2018-11-18 02:00:00+00:00,OKLAHOMA CITY THUNDER,110,PHOENIX SUNS,100
2018-11-18 23:00:00+00:00,LOS ANGELES LAKERS,113,MIAMI HEAT,97
2018-11-18 20:30:00+00:00,MEMPHIS GRIZZLIES,100,MINNESOTA TIMBERWOLVES,87
2018-11-18 23:00:00+00:00,NEW YORK KNICKS,117,ORLANDO MAGIC,131
2018-11-19 00:00:00+00:00,GOLDEN STATE WARRIORS,92,SAN ANTONIO SPURS,104
2018-11-18 23:00:00+00:00,PORTLAND TRAIL BLAZERS,119,WASHINGTON WIZARDS,109
2018-11-20 00:30:00+00:00,LOS ANGELES CLIPPERS,127,ATLANTA HAWKS,119
2018-11-20 00:00:00+00:00,BOSTON CELTICS,112,CHARLOTTE HORNETS,117
2018-11-20 00:00:00+00:00,CLEVELAND CAVALIERS,102,DETROIT PISTONS,113
2018-11-20 00:00:00+00:00,UTAH JAZZ,94,INDIANA PACERS,121
2018-11-20 01:00:00+00:00,DALLAS MAVERICKS,88,MEMPHIS GRIZZLIES,98
2018-11-20 01:00:00+00:00,DENVER NUGGETS,98,MILWAUKEE BUCKS,104
2018-11-20 01:00:00+00:00,SAN ANTONIO SPURS,126,NEW ORLEANS PELICANS,140
2018-11-20 00:00:00+00:00,PHOENIX SUNS,114,PHILADELPHIA 76ERS,119
2018-11-20 03:00:00+00:00,OKLAHOMA CITY THUNDER,113,SACRAMENTO KINGS,117
2018-11-21 00:30:00+00:00,BROOKLYN NETS,104,MIAMI HEAT,92
2018-11-21 00:30:00+00:00,PORTLAND TRAIL BLAZERS,118,NEW YORK KNICKS,114
2018-11-21 00:00:00+00:00,TORONTO RAPTORS,93,ORLANDO MAGIC,91
2018-11-21 00:00:00+00:00,LOS ANGELES CLIPPERS,118,WASHINGTON WIZARDS,125
2018-11-22 00:30:00+00:00,TORONTO RAPTORS,124,ATLANTA HAWKS,108
2018-11-22 00:30:00+00:00,NEW YORK KNICKS,117,BOSTON CELTICS,109
2018-11-22 01:00:00+00:00,PHOENIX SUNS,116,CHICAGO BULLS,124
2018-11-22 00:00:00+00:00,INDIANA PACERS,109,CHARLOTTE HORNETS,127
2018-11-22 01:00:00+00:00,LOS ANGELES LAKERS,109,CLEVELAND CAVALIERS,105
2018-11-22 01:30:00+00:00,BROOKLYN NETS,113,DALLAS MAVERICKS,119
2018-11-22 03:30:00+00:00,OKLAHOMA CITY THUNDER,123,GOLDEN STATE WARRIORS,95
2018-11-22 01:00:00+00:00,DETROIT PISTONS,124,HOUSTON ROCKETS,126
2018-11-22 01:00:00+00:00,PORTLAND TRAIL BLAZERS,100,MILWAUKEE BUCKS,143
2018-11-22 01:00:00+00:00,DENVER NUGGETS,103,MINNESOTA TIMBERWOLVES,101
2018-11-22 00:00:00+00:00,NEW ORLEANS PELICANS,120,PHILADELPHIA 76ERS,121
2018-11-22 01:30:00+00:00,MEMPHIS GRIZZLIES,104,SAN ANTONIO SPURS,103
2018-11-22 02:00:00+00:00,SACRAMENTO KINGS,119,UTAH JAZZ,110
2018-11-24 00:30:00+00:00,BOSTON CELTICS,114,ATLANTA HAWKS,96
2018-11-23 17:00:00+00:00,MINNESOTA TIMBERWOLVES,112,BROOKLYN NETS,102
2018-11-24 01:00:00+00:00,MIAMI HEAT,103,CHICAGO BULLS,96
2018-11-24 02:00:00+00:00,ORLANDO MAGIC,87,DENVER NUGGETS,112
2018-11-24 00:00:00+00:00,HOUSTON ROCKETS,111,DETROIT PISTONS,116
2018-11-24 03:30:00+00:00,PORTLAND TRAIL BLAZERS,97,GOLDEN STATE WARRIORS,125
2018-11-24 01:00:00+00:00,SAN ANTONIO SPURS,111,INDIANA PACERS,100
2018-11-23 20:30:00+00:00,MEMPHIS GRIZZLIES,107,LOS ANGELES CLIPPERS,112
2018-11-24 03:30:00+00:00,UTAH JAZZ,83,LOS ANGELES LAKERS,90
2018-11-24 01:30:00+00:00,PHOENIX SUNS,116,MILWAUKEE BUCKS,114
2018-11-24 00:30:00+00:00,NEW ORLEANS PELICANS,109,NEW YORK KNICKS,114
2018-11-24 01:00:00+00:00,CHARLOTTE HORNETS,104,OKLAHOMA CITY THUNDER,109
2018-11-24 00:30:00+00:00,CLEVELAND CAVALIERS,121,PHILADELPHIA 76ERS,112
2018-11-24 00:30:00+00:00,WASHINGTON WIZARDS,107,TORONTO RAPTORS,125
2018-11-25 00:30:00+00:00,HOUSTON ROCKETS,108,CLEVELAND CAVALIERS,117
