Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
143,Saturday Sep 8,boxscore,BOS,,HOU,L,3,5,,97-46,1,up 7.5,Morton,Rodriguez,Osuna,3:25,D,36684,--,
144,Sunday Sep 9,boxscore,BOS,,HOU,W-wo,6,5,,98-46,1,up 8.5,Kimbrel,Rondon,,3:35,N,32787,+,
145,Tuesday Sep 11,boxscore,BOS,,TOR,W,7,2,,99-46,1,up 9.0,Brasier,Tepera,,3:08,N,34747,++,
146,Wednesday Sep 12,boxscore,BOS,,TOR,W,1,0,,100-46,1,up10.0,Price,Sanchez,Kimbrel,2:41,N,35178,+++,
147,Thursday Sep 13,boxscore,BOS,,TOR,W,4,3,,101-46,1,up10.5,Workman,Barnes,Kimbrel,2:50,N,36427,++++,
148,Friday Sep 14,boxscore,BOS,,NYM,L,0,8,,101-47,1,up 9.5,Syndergaard,Cuevas,,2:59,N,37117,-,
149,Saturday Sep 15,boxscore,BOS,,NYM,W,5,3,,102-47,1,up10.5,Porcello,Sewald,Kimbrel,3:11,D,36611,+,
150,Sunday Sep 16,boxscore,BOS,,NYM,W,4,3,,103-47,1,up11.5,Workman,Lugo,Wright,2:55,D,36526,++,
151,Tuesday Sep 18,boxscore,BOS,@,NYY,L,2,3,,103-48,1,up10.5,Green,Workman,Britton,3:13,N,38695,-,
152,Wednesday Sep 19,boxscore,BOS,@,NYY,L,1,10,,103-49,1,up 9.5,Severino,Price,,3:17,N,43297,--,
153,Thursday Sep 20,boxscore,BOS,@,NYY,W,11,6,,104-49,1,up10.5,Wright,Green,,4:02,N,47351,+,
154,Friday Sep 21,boxscore,BOS,@,CLE,W,7,5,,105-49,1,up10.5,Barnes,Bieber,Kimbrel,3:34,N,27892,++,
155,Saturday Sep 22,boxscore,BOS,@,CLE,L-wo,4,5,11,105-50,1,up 9.5,Olson,Pomeranz,,3:46,N,35095,-,
156,Sunday Sep 23,boxscore,BOS,@,CLE,L-wo,3,4,11,105-51,1,up 9.5,Tomlin,Cuevas,,4:20,N,27879,--,
157,Monday Sep 24,boxscore,BOS,,BAL,W,6,2,,106-51,1,up 9.5,Eovaldi,Bundy,,3:06,N,35619,+,
158,Wednesday Sep 26 (1),boxscore,BOS,,BAL,W,19,3,,107-51,1,up 9.5,Price,Meisinger,,3:10,D,33577,++,
159,Wednesday Sep 26 (2),boxscore,BOS,,BAL,L,3,10,,107-52,1,up 9.5,Scott,Barnes,Fry,3:45,N,34445,-,
160,Friday Sep 28,boxscore,BOS,,NYY,L,6,11,,107-53,1,up 8.0,Happ,Johnson,,3:27,N,36779,--,
161,Saturday Sep 29,boxscore,BOS,,NYY,L,5,8,,107-54,1,up 7.0,Lynn,Rodriguez,Chapman,3:40,D,36375,---,
162,Sunday Sep 30,boxscore,BOS,,NYY,W,10,2,,108-54,1,up 8.0,Rodriguez,Cessa,,3:20,D,36201,+,
163,,boxscore,BOS,,NYY,W,5,4,,,,,,,,,,,,
164,,boxscore,BOS,,NYY,L,2,6,,,,,,,,,,,,
165,,boxscore,BOS,@,NYY,W,16,1,,,,,,,,,,,,
166,,boxscore,BOS,@,NYY,W,4,3,,,,,,,,,,,,
167,,boxscore,BOS,,HOU,L,2,7,,,,,,,,,,,,
168,,boxscore,BOS,,HOU,W,7,5,,,,,,,,,,,,
169,,boxscore,BOS,@,HOU,W,8,2,,,,,,,,,,,,
170,,boxscore,BOS,@,HOU,W,8,6,,,,,,,,,,,,
171,,boxscore,BOS,@,HOU,W,4,1,,,,,,,,,,,,
